article_id,title,body,link
11,Many Teens Report Emotional and Physical Abuse by Parents During Lockdown,"New research from the Centers for Disease Control and Prevention on adolescents’ mental health during the coronavirus pandemic suggests that for many teenagers who were ordered to stay at home, home was not always a safe place.",https://www.nytimes.com/2022/03/31/health/covid-mental-health-teens.html
12,Treating Depression to Stem Suicide,"THE aftermath of the suicide of former Yonkers mayor Nicholas C. Wasicsko had an eerily familiar ring to it. The 34-year-old Mr. Wasicsko shot himself the week before Election Day, three months after Vincent W. Foster, deputy White House counsel, killed himself the same way. The headlines and news stories that followed had parallel themes.",https://www.nytimes.com/1993/11/21/nyregion/treating-depression-to-stem-suicide.html
13,Lays His Suicide to Depression.,,https://www.nytimes.com/1935/07/13/archives/lays-his-suicide-to-depression.html
14,A Legacy of the Storm: Depression and Suicide,"NEW ORLEANS, June 20  Sgt. Ben Glaudi, the commander of the Police Department's Mobile Crisis Unit here, spends much of each workday on this city's flood-ravaged streets trying to persuade people not to kill themselves. ",https://www.nytimes.com/2006/06/21/us/21depress.html
15,A Legacy of the Storm: Depression and Suicide,"NEW ORLEANS, June 20 - Sgt. Ben Glaudi, the commander of the Police Department's Mobile Crisis Unit here, spends much of each workday on this city's flood-ravaged streets trying to persuade people not to kill themselves.",https://www.nytimes.com/2006/06/21/us/a-legacy-of-the-storm-depression-and-suicide.html
16,Widow Believes Hemingway Committed Suicide; She Tells of His Depression and His 'Breakdown'  Assails Hotchner Book ,,https://www.nytimes.com/1966/08/23/archives/widow-believes-hemingway-committed-suicide-she-tells-of-his.html
17,The First (and Last) Time She Didn’t Come Home,"While my sister Holly and I waited for the police, she rifled through our mother’s desk, searching for clues as to why she hadn’t come home the previous night. Exhausted, I propped myself on an armchair my mother had acquired when moving out of my father’s house nearly a year ago.",https://www.nytimes.com/2022/03/25/style/modern-love-first-and-last-time-she-didnt-come-home.html
18,"Exploring the Links Between Depression, Writers and Suicide","When the poet Anne Sexton learned of Sylvia Plath's suicide in 1963, she was horrified. ""That death was mine,"" she said. Eleven years later, wrapped in a fur coat that once belonged to her mother, she sat in her car with the engine running in a closed garage and ended her life.",https://www.nytimes.com/1994/11/14/books/exploring-the-links-between-depression-writers-and-suicide.html
19,SUICIDE OF RYAN IS LINKED TO WAR; Psychiatrist Says Tendency Toward Depression Began With Illnesses in Navy,,https://www.nytimes.com/1957/09/14/archives/suicide-of-ryan-is-linked-to-war-psychiatrist-says-tendency-toward.html
20,Answers About Campus Depression and Suicide Risk Among College Students,"This week, I wrote about the pressures college students face and the related risk for depression and suicide. The article, “Suicide on Campus and the Pressure for Perfection,” generated numerous comments, and readers also raised important questions about other aspects of mental health. ",https://well.blogs.nytimes.com/2015/08/04/answers-about-campus-depression-and-suicide-risk-among-college-students/
21,DEATH CALLED SUICIDE; Body of Security Aide at Air Base Is Found Upstate,,https://www.nytimes.com/1961/10/20/archives/death-called-suicide-body-of-security-aide-at-air-base-is-found.html
22,"More Child Suicides Are Linked to A.D.D. Than Depression, Study Suggests","Attention deficit disorder is the most common mental health diagnosis among children under 12 who die by suicide, a new study has found.",https://www.nytimes.com/2016/09/19/science/more-child-suicides-are-linked-to-add-than-depression-study-suggests.html
23,When Depression Is Like a Cancer,"Depression is not cancer. It’s a completely different disease. Yet when I look back on my husband’s depression and death by suicide three years ago, it sure looks a lot like cancer to me.",https://www.nytimes.com/2019/09/26/well/mind/suicide-depression-cancer.html
24,Police Find Killer-Suicide Had File,,https://www.nytimes.com/1966/08/27/archives/police-find-killersuicide-had-file.html
25,Paula J. Clayton Dies at 86; Helped Destigmatize Depression and Suicide,"Early in her time as a medical student in the late 1950s, Paula J. Clayton watched a psychiatrist analyze a patient with clinical depression.",https://www.nytimes.com/2021/10/07/science/paula-j-clayton-dead.html
26,A General Fights to Destigmatize Mental Health Issues: ‘There’s a Shame if You Show Weakness’,"WASHINGTON — Maj. Gen. Ernest Litynski has received numerous awards and decorations during his nearly three decades in the Army. But he is best known among soldiers and his superiors for his campaign to illuminate mental health issues among troops, scraping away bit by bit at the stigma that often leads to tragedy.",https://www.nytimes.com/2022/03/19/us/politics/military-mental-health.html
27,To Know Suicide,"BALTIMORE — WHEN the American artist Ralph Barton killed himself in 1931 he left behind a suicide note explaining why, in the midst of a seemingly good and full life, he had chosen to die.",https://www.nytimes.com/2014/08/16/opinion/depression-can-be-treated-but-it-takes-competence.html
28,Common Drugs May Be Contributing to Depression,Could common prescription medications be contributing to depression and rising suicide rates?,https://www.nytimes.com/2018/06/13/well/prescription-drugs-depression-suicide.html
29,MERCHANT HANGS HIMSELF; Note Left by A.E. Oberfelder Lays Suicide to Depression.,,https://www.nytimes.com/1931/10/06/archives/merchant-hangs-himself-note-left-by-ae-oberfelder-lays-suicide-to.html
30,Differences in Depression Extremes,Depression levels vary across red and blue states.,https://www.nytimes.com/interactive/2015/06/07/sunday-review/seth2.html
31,Robin Williams and the Science on Depression,"The comedian and Academy Award-winning actor died Monday in a suspected suicide. Matthew Nock, a Harvard psychology professor who studies depression and suicide, talked to Benedict Carey about what we know about severe depression and suicide in the context of Williams’s death.",https://www.nytimes.com/audio/2014/08/12/science/12scitimes-podcast-robin-williams.html
32,Depression in Teenagers,"In light of the story yesterday about three apparent suicides at Cornell University, it seemed like a sadly appropriate time to post a question from Elizabeth, a reader who is worried about her teenage son. In an e-mail message she writes:",https://parenting.blogs.nytimes.com/2010/03/18/depression-in-teens/
33,The Evolution of Depression,"According to evolutionary theory, nature selects for those heritable traits that make us more likely to survive and reproduce. So how, then, does one explain the widespread prevalence of depression?",https://well.blogs.nytimes.com/2010/02/26/the-evolution-of-depression/
34,CUBAN SUGAR MAN SUICIDE.; Jose Montalvan Had Lost Fortune in Depression.,,https://www.nytimes.com/1931/05/14/archives/cuban-sugar-man-suicide-jose-montalvan-had-lost-fortune-in.html
35,In Praise of Depressions,Today's idea: The economic crisis has revived a debate about cyclical capitalism: Are contractions a good thing?,https://ideas.blogs.nytimes.com/2009/07/16/blogs/16ideas-are-depr10149.html
36,"INSURANCE MAN DIES, A SUICIDE IN HOTEL; A.B. Dawson, Consulting Actuary, Was Despondent Over Economic Depression, Father Says.",,https://www.nytimes.com/1931/06/22/archives/insurance-man-dies-a-suicide-in-hotel-ab-dawson-consulting-actuary.html
37,"What Is Sadness, and What Is Depression?","I stood onstage as an audience of over a thousand people applauded and cheered. My hosts placed an award in my hands. I nodded to the crowd, and they all rose to their feet. Hooray for you, the strangers shouted. Hooray!",https://www.nytimes.com/2018/06/13/opinion/sadness-depression.html
38,PREVENTION CENTER ON SUICIDE PLANNED,,https://www.nytimes.com/1965/10/15/archives/prevention-center-on-suicide-planned.html
39,G.M. BEERS A SUICIDE; BODY FOUND IN RIVER; Ex-Aide to Sheffield Dean Left Note at Stockbridge Telling of Depression.,,https://www.nytimes.com/1932/06/25/archives/gm-beers-a-suicide-body-found-in-river-exaide-to-sheffield-dean.html
40,ECT Can Be a Good Treatment Option for Serious Depression,"Electroconvulsive therapy, or ECT, can be effective for the treatment of major depression and is just as safe as antidepressant drugs combined with psychotherapy, a large new study concludes.",https://www.nytimes.com/2021/09/14/well/ect-therapy-depression.html
41,Lives Cut Short by Depression,"There is something about a first friend that is irreplaceable. No matter how disparately your lives travel, the first friend you ever had occupies a special place in your heart. I was lucky that Michael was considerate enough to be born four months before me, waiting next door, ready to join me in elaborate childhood games of hide-and-seek, multilevel couch forts and family camping trips in the Catskills.",https://well.blogs.nytimes.com/2011/06/09/lives-cut-short-by-depression/
42,Study Links Rural Suicides in China to Stress and Ready Poisons,"Just as Beijing prepares to open its first government-sponsored suicide prevention center, a new study about suicide in China paints a grim picture of a large and unaddressed public health problem.",https://www.nytimes.com/2002/11/29/world/study-links-rural-suicides-in-china-to-stress-and-ready-poisons.html
43,The Great God of Depression,"Nearly 30 years ago, the author William Styron outed himself in these pages as mentally ill. “My days were pervaded by a gray drizzle of unrelenting horror,” he wrote in a New York Times Op-Ed article, describing the deep depression that had landed him in the psych ward. He compared the agony of mental illness to that of a heart attack. Pain is pain, whether it’s in the mind or the body. So why, he asked, were depressed people treated as pariahs?",https://www.nytimes.com/2018/08/03/opinion/sunday/depression-william-styron.html
44,Women's Health Resources: Depression, The links will spawn new windows . ,https://www.nytimes.com/2001/02/01/health/womens-health-resources-depression.html
45,"Suicide Attempts Up, Reflecting the Times; Suicide Attempts Increase",,https://www.nytimes.com/1980/12/21/archives/long-island-weekly-suicide-attempts-up-reflecting-the-times-suicide.html
46,Men's Health Resources: Depression, The links will spawn new windows. ,https://www.nytimes.com/2001/03/07/health/mens-health-resources-depression.html
47,Our Great Depression,"DEPRESSION is the leading cause of disability worldwide, according to the World Health Organization. It costs more in treatment and lost productivity than anything but heart disease. Suicide is the 11th most common cause of death in the United States, claiming 30,000 lives each year. ",https://www.nytimes.com/2006/11/17/opinion/17solomon.html
48,Silence Is the Enemy for Doctors Who Have Depression,"In my first year of training as a doctor, I knew something was wrong with me. I had trouble sleeping. I had difficulty feeling joy. I was prone to crying at inopportune times. Even worse, I had trouble connecting with patients. I felt as if I couldn’t please anyone, and I felt susceptible to feelings of despair and panic.",https://www.nytimes.com/2016/01/12/upshot/silence-is-the-enemy-for-doctors-who-have-depression.html
49,Our Great Depression,"DEPRESSION is the leading cause of disability worldwide, according to the World Health Organization. It costs more in treatment and lost productivity than anything but heart disease. Suicide is the 11th most common cause of death in the United States, claiming 30,000 lives each year.",https://www.nytimes.com/2006/11/17/opinion/our-great-depression.html
50,Opening Up About Depression,"I have slogged through a number of difficult situations in recent months, among them the ongoing crises of my elderly parents’ illnesses and the suicide of a friend. I never lost my appetite nor burst into tears, and I didn’t suffer from any of the other typical symptoms of depression. Maybe I was more irritable than usual, a bit more prone to snap. And yes, I buried myself in my work. But I didn’t think I’d tripped down into the rabbit hole of depression.",https://well.blogs.nytimes.com/2016/02/08/opening-up-about-depression/
51,British Surgeon a Suicide,,https://www.nytimes.com/1962/09/22/archives/british-surgeon-a-suicide.html
52,Spotting Depression in Adolescents,"In the latest “18 and Under” column, the pediatrician Dr. Perri Klass writes about the challenges of diagnosing depression in young people. ",https://well.blogs.nytimes.com/2009/12/07/spotting-depression-in-adolescents/
53,TEEN-AGE SUICIDE REPORTED ON RISE; Panel at Parley Here Warns Parents and Schools,,https://www.nytimes.com/1965/03/20/archives/teenage-suicide-reported-on-rise-panel-at-parley-here-warns-parents.html
54,Against Depression,,https://www.nytimes.com/2005/05/13/arts/against-depression.html
55,Hush of Suicide,"IT WAS THE SMILEY FACE THAT DID IT. I had listened quietly as the couple described their son's moodiness, his frequent hospitalizations, repeated suicide threats and, finally, the discovery of his body in a motel room in New Jersey. We were, after all, at a suicide survivors' meeting.",https://www.nytimes.com/1995/03/05/magazine/hush-of-suicide.html
56,What Do You Know About Teen Depression?,"In reaction to the news about three apparent suicides at Cornell University, the Motherlode blog has posted a Q & A with an expert on the topic of teen depression. Do you know what signs to look for? Can you tell the difference between “ordinary teen angst” and a more serious condition? What questions do you have? ",https://learning.blogs.nytimes.com/2010/03/19/what-do-you-know-about-teen-depression/
57,A Portrait of Depression, ,https://www.nytimes.com/2010/07/30/movies/30helen.html
58,New Approach to Depression,"Martha Rhodes experienced her first bout of depression at 13. By her late 50s, she had taken just about every antidepressant there is, including Zoloft, Lexapro and Paxil — which did the trick for many years, but had side effects — then Effexor, Lamictal, Seroquel and Abilify.",https://well.blogs.nytimes.com/2013/07/01/new-approach-to-depression/
59,Depression Hidden in Deadly Disease,"People with incurable conditions like Alzheimer's disease and terminal cancer are frequently depressed or suicidal, but their doctors often do not recognize the warning signs or they disregard them, a growing number of researchers say.",https://www.nytimes.com/1990/11/15/archives/depression-hidden-in-deadly-disease.html
60,Theater: Yale Rep's 'Suicide'; The Cast ,,https://www.nytimes.com/1980/11/22/archives/theater-yale-reps-suicide-the-cast.html
61,"Teenagers, Medication and Suicide","IS our culture of relentless achievement and success driving our young people to suicide? You would certainly think so, given the prevailing narrative in the media about the recent spate of suicides on college campuses: one high-achieving student after another succumbing to the toxic social pressure for perfection.",https://www.nytimes.com/2015/08/03/opinion/teenagers-medication-and-suicide.html
62,Women´s Health Resources: Depression, The links will spawn new windows . ,https://www.nytimes.com/2001/01/18/health/womenacutes-health-resources-depression.html
63,Depression in Childhood Tied to Physical Illnesses in Young Adulthood,"Children and adolescents diagnosed with depression may be at increased risk for physical diseases and premature death as young adults, researchers report.",https://www.nytimes.com/2020/12/14/well/mind/depression-children-teens.html
64,A Battle With Depression and Suicidal Tendencies,"Susan Endersbe, a schizophrenic who lived in Minneapolis, battled depression all her life. When her illness worsened, she usually checked into a hospital, which she did for the last time on May 7, 1994. On that occasion, doctors gave her an antidepressant, and three weeks later she said she felt ready to leave soon, according to nurses’ notes.",https://www.nytimes.com/2007/06/03/health/03docside.html
65,Depressing News on Depression,"Antidepressant drugs are being widely administered to children and adolescents despite increasing concern that the benefits have been oversold and some potentially dangerous side effects minimized. The jury is still out on whether the modest benefits of some of these drugs outweigh the small risks they impose. But the escalating debate makes us wonder, uneasily, whether doctors have been dispensing the pills far too cavalierly despite a dearth of evidence to support their value.",https://www.nytimes.com/2004/04/23/opinion/depressing-news-on-depression.html
66,New Depression Findings Could Alter Treatments,The results of two new studies may signal a substantial shift in the way psychiatrists and researchers think about treatment for severely depressed patients.,https://www.nytimes.com/2006/08/08/health/psychology/new-depression-findings-could-alter-treatments.html
67,Battle Lines in Treating Depression,"TAMARA KNIGHT remembers little of the summer of 2004 beyond a numbing despair that resisted 16 different antidepressant drugs. She dreaded a return to electroshock therapy, which she had tried periodically for years, because it brightened her mood for only a few weeks, at best, while progressively destroying her memory.",https://www.nytimes.com/2006/09/10/business/yourmoney/10cyber.html
68,South Korea’s Struggle With Suicide,"BUSAN, South Korea — As the author of the novel “I Have the Right to Destroy Myself,” I’m often asked why I think South Korea’s suicide rate is so high. The protagonist in my story is a professional “suicide counselor” who is hired to help clients plan and execute their own deaths. I started writing the novel in 1995, a time when South Korea’s annual rate of suicide was much lower than the average of the other industrialized nations. But it soared in the wake of the 1997 Asian financial crisis — and it has been getting worse ever since. ",https://www.nytimes.com/2014/04/03/opinion/south-koreas-struggle-with-suicide.html
69,"When to Love, When to Leave; Depression Author's Query",,https://www.nytimes.com/1980/08/24/archives/when-to-love-when-to-leave-depression-authors-query.html
70,Are Depressions Good for Us?,Today’s idea: The economic crisis has revived a debate about cyclical capitalism: Are contractions a good thing?,https://ideas.blogs.nytimes.com/2009/07/16/are-depressions-good-for-us/
71,"SENIOR HANGS HERSELF AT VASSAR COLLEGE; Depression Is Believed Cause of Suicide of Miss Bailey, Whose Poems Showed Ability.",,https://www.nytimes.com/1925/10/07/archives/senior-hangs-herself-at-vassar-college-depression-is-believed-cause.html
72,"RISE IN SUICIDE RATE LAID TO DEPRESSION; National Survey Shows 20.5 of 100,000 Persons Took Their Own Lives in 1931. Dr. Hoffman, Statistician, Urges Move to Combat Trend by Aiding ""Those in Desperate Need.""",,https://www.nytimes.com/1932/06/09/archives/rise-in-suicide-rate-laid-to-depression-national-survey-shows-205.html
73,How to Spot Depression in Young Children,"When parents bring their children in for medical care these days, there is no such thing as a casual, “Hey, how’s it going?” We doctors walk into every exam room prepared to hear a story of sadness and stress, or at the very least, of coping and keeping it together in this very hard year, full of isolation, loss, tragedy and hardship, with routines disrupted and comfort hard to come by.",https://www.nytimes.com/2021/04/01/well/family/depression-young-children.html
74,Allergies Can Increase the Risk of Depression,THE FACTS ,https://www.nytimes.com/2011/04/12/health/12really.html
75,Suicide Can't Be Eliminated; Suicide Can't Be Eliminated,,https://www.nytimes.com/1966/03/20/archives/suicide-cant-be-eliminated-suicide-cant-be-eliminated.html
76,F.D.A. Intensely Reviews Depression Drugs,The Food and Drug Administration issued a public health advisory yesterday that makes clear that the agency has grown increasingly skeptical that there is any link between antidepressant use and the risk of suicide in teenagers and children.,https://www.nytimes.com/2003/10/28/health/fda-intensely-reviews-depression-drugs.html
77,Coffee Drinking Linked to Less Depression in Women,"Morning pick-me-up? For many women, the mood-elevating effects of a cup of coffee may be more than fleeting.",https://well.blogs.nytimes.com/2011/09/26/coffee-drinking-linked-to-less-depression-in-women/
78,Designer's Death Held Suicide,,https://www.nytimes.com/1961/12/15/archives/designers-death-held-suicide.html
79,Battle Lines in Treating Depression,"TAMARA KNIGHT remembers little of the summer of 2004 beyond a numbing despair that resisted 16 different antidepressant drugs. She dreaded a return to electroshock therapy, which she had tried periodically for years, because it brightened her mood for only a few weeks, at best, while progressively destroying her memory.",https://www.nytimes.com/2006/09/10/business/yourmoney/battle-lines-in-treating-depression.html
80,"A Desperate Act, Born of Depression","Over the last several months, two California men have watched their wives end their lives after a long, drawn-out illness. Afterward, each of these old men was placed in handcuffs by the police, led from his home and questioned extensively, and faced the possibility of being charged with assisting in a suicide.",https://newoldage.blogs.nytimes.com/2012/08/03/a-desperate-act-born-of-depression/
81,More Americans Seeking Help for Depression,"More than half of the Americans who suffer from depression now seek treatment, up from one-third 10 years ago, a new survey says. Yet nearly 60 percent of the people in treatment do not receive adequate care, the researchers found.",https://www.nytimes.com/2003/06/18/us/more-americans-seeking-help-for-depression.html
82,New Depression Findings Could Alter Treatments,The results of two new studies may signal a substantial shift in the way psychiatrists and researchers think about treatment for severely depressed patients. ,https://www.nytimes.com/2006/08/08/health/psychology/08drug.html
83,Depression In Children Prompts Concern,"THE idea of childhood as a carefree time, full of happiness, security and cheerful innocence, is a cherished notion. It is also far from the reality for many children, whose lives are marked by hopelessness, grief and despair. Yet while many parents and professionals are quick to spot and treat a physical illness in a child, like chicken pox or strep throat, they are far more likely to dismiss warning signs of emotional trouble with attitudes of ''he'll grow out it'' or ''it's just a phase.''",https://www.nytimes.com/1998/11/01/nyregion/depression-in-children-prompts-concern.html
84,PERSONAL TRAITS CITED IN SUICIDES; Psychologists Get Report on Mental Hospital Deaths,,https://www.nytimes.com/1962/08/31/archives/personal-traits-cited-in-suicides-psychologists-get-report-on.html
85,Psychiatrist Says Potential Suicides Can Be Recognized,,https://www.nytimes.com/1967/09/10/archives/psychiatrist-says-potential-suicides-can-be-recognized.html
86,Depression More Deadly for Diabetics,"Treating some diabetic patients for depression may help prolong their lives, according to new research.",https://well.blogs.nytimes.com/2007/12/05/depression-more-deadly-for-diabetics/
87,Post-Postpartum Depression, I suffered postpartum depression with my puppy. ,https://parenting.blogs.nytimes.com/2008/12/08/post-post-partum-depression/
88,A New Focus on Depression,When will we ever get depression under control?,https://well.blogs.nytimes.com/2013/12/23/a-new-focus-on-depression/
89,Senior at Brown a Suicide,,https://www.nytimes.com/1953/11/10/archives/senior-at-brown-a-suicide.html
90,"On Suicide, Does Density Disprove Durkheim?","Responding to my Sunday column, Nate Cohn of the New Republic dismisses the idea that there’s any link between the recent rise in middle-aged suicide rates and the attenuation of various forms of social and economic belonging — from marriage to churchgoing to stable employment. Rather, he argues, the only definite driver of suicide rates seems to be population density:",https://douthat.blogs.nytimes.com/2013/05/21/on-suicide-does-density-disprove-durkheim/
91,Post-Postpartum Depression,"I suffered postpartum depression with my puppy.   It sounds like a joke, but it wasn't at the time. Riley arrived and I became a blubbering mess, overwhelmed by this creature who didn't sleep at night and seemed to poop all day. He was the final tin can in the wobbly stack of tin cans that was my life as the working mother of two young children, and his furry Wheaten face brought everything tumbling down.   Working Mother magazine has a cover story in this month's issue about depression in working mothers — more specifically, what they call post-postpartum depression.   You are back at work. You've gotten past the months where hormones are automatically blamed. You're through the colic and the round-the-clock feedings and you even have something that resembles a schedule. You fit back into your clothes, or you've faced reality and bought new ones. And then you find yourself sobbing while walking the dog.   Or, in the case of the women profiled in Working Mother, sobbing in the bathroom at work. Or in the car driving the toddlers to day care.   As the story's author, Katherine Eban, writes:   These days, most women learn about the risks of postpartum depression, the haze of new motherhood that can threaten to plunge them into a crippling, if brief, depression. About 15 percent of new mothers succumb to it, according to the National Alliance on Mental Illness. What most women don't read about in brochures in their ob-gyn's waiting room is that some of the triggers for postpartum depression — feelings of isolation and overwhelming stress — can wallop you years later. It's often their can-do qualities — juggling deadlines and diapers, deal-making and day care — that enable many working women to sail through the challenging early years of their baby's life, only to tip them into serious depression once the hardest part has passed.  The article includes a checklist from the National Institute of Mental Health (NIMH). If you have more than five of the symptoms, it might be wise to seek help:    A lack of interest or enjoyment in usually pleasurable activities and hobbies Feelings of hopelessness and/or pessimism  Feelings of guilt, worthlessness and/or helplessness Irritability, restlessness, anxiety Fatigue and decreased energy Decreased interest in sex Difficulty concentrating and making decisions Sleep problems, such as insomnia, wakefulness at night or excessive sleeping Overeating or appetite loss Thoughts of suicide Persistent aches or pains, or digestive problems that do not ease with treatment     One in five women will suffer depression in their lifetime, according to the NIMH, a rate that is twice that of men. And it is estimated that more than a third of women of child-bearing age suffer symptoms at any given moment.   But is that rate higher among mothers who work outside the home? The editors of Working Mother think that it is. They did an online poll of 500 working mothers last month, and 91.4 percent had felt depressed at some point since having children. (And more than half of those said it was after their baby was 3 months old or more — in other words, after the traditional postpartum period.)  Ninety-one percent. Nearly every working mother out there. Obviously an online poll of this type isn't scientific, but even so, I was surprised.   I figured the number would be higher.   p.s. I am not serious about that last sentence, of course. I would guess that 91 percent number is too high, and that women who would respond to an online survey like this are a self-selecting group. But I am also certain that there are many women who are suffering this way, most of them silently...   p.p.s.: I did get help all those years ago, in the form of medication and recommitment to getting exercise and sleep. Riley, who sits at my feet as I type this, hasn't made me cry for a very long time.   ",https://parenting.blogs.nytimes.com/2008/12/08/blogs/08parenting-post-pos155.html
92,Clues in the Cycle of Suicide,"On average, about 700 Americans kill themselves each week — but in the fine-weather weeks of May and June, the toll rises closer to 800, sometimes higher. Every year, suicide peaks with the tulips and lilacs — increasing roughly 15 percent over the annual average to create one of psychiatry’s most consistent epidemiological patterns. It may seem perverse that the period of spring and early summer, as the psychologist Kay Redfield Jamison puts it in her splendid book “Night Falls Fast,” should contain “a capacity for self-murder that winter less often has.” Yet it does.",https://well.blogs.nytimes.com/2013/06/24/clues-in-the-cycle-of-suicide/
93,Some Gun Laws Tied to Lower Suicide Rates,"Background checks and waiting periods for gun purchases are associated with lower suicide rates, a new study reports.",https://www.nytimes.com/2017/03/15/well/live/some-gun-laws-tied-to-lower-suicide-rates.html
94,EXPERTS' ADVICE ON DEPRESSION: OPEN DISCUSSIONS,"For parents worried that their teen-age children might consider suicide, experts say the best advice is old advice: talk with the children often as possible.",https://www.nytimes.com/1987/03/18/nyregion/experts-advice-on-depression-open-discussions.html
95,Rise in Suicides of Middle-Aged Is Continuing,"For the second year in a row, middle-aged adults have registered the highest suicide rate in the country, according to the federal Centers for Disease Control and Prevention. ",https://www.nytimes.com/2010/06/06/us/06suicide.html
96,Apparent Suicide of Anthrax Suspect,Scientist Bruce E. Ivins apparently killed himself as investigators got close to filing charges against him in the 2001 anthrax attacks.,https://www.nytimes.com/video/us/1194817108194/apparent-suicide-of-anthrax-suspect.html
97,ROOSEVELT 'DOUBLE' COMMITS SUICIDE; Carl Sternberg Jumps From 13th Floor of Mills Hotel -- Notes Show Depression.,,https://www.nytimes.com/1927/06/07/archives/roosevelt-double-commits-suicide-carl-sternberg-jumps-from-13th.html
98,ENDS LIFE BY HANGING.; Hotel Guest Leaves Note Saying He Is 'Victim of Depression.',,https://www.nytimes.com/1935/03/15/archives/ends-life-by-hanging-hotel-guest-leaves-note-saying-he-is-victim-of.html
99,F.D.A. May Approve an Implant as a Treatment for Depression,The Food and Drug Administration said yesterday that it might permit an implantable electrical device for the treatment of epilepsy made by Cyberonics to also be marketed as a therapy for chronic depression that is resistant to other treatments.,https://www.nytimes.com/2005/02/04/business/fda-may-approve-an-implant-as-a-treatment-for-depression.html
100,When Suicide Is Not a Choice,"Just when you thought there wasn't any more space in the self-help section of your local bookstore, along comes Derek Humphry's ""Final Exit,"" the best-selling step-by-step guide to suicide. But while Mr. Humphry and the other members of the Hemlock Society add up their big sales numbers, they ought to consider a few things.",https://www.nytimes.com/1991/08/22/opinion/when-suicide-is-not-a-choice.html
101,In Suicide’s Shadow,"Linda Gray Sexton’s first memoir, “Searching for Mercy Street,” described a childhood dominated by the mental illness of her larger-than-life mother, the poet Anne Sexton. Linda, the older of Sexton’s two daughters, wrote frankly about her mother’s terrifying breakdowns, fugue states and drunken rages, as well as demands for closeness that at times slid into molestation. Linda Sexton grew up intellectually privileged — in high school she had private poetry tutorials with her mother’s best friend, Maxine Kumin — but emotionally lost, bound to her glamorous, suffering, overbearing parent in what the first of many psychiatrists called a “destructive symbiosis.”",https://www.nytimes.com/2011/01/09/books/review/Russo-t.html
